date,open,high,low,close,volume
2008-09-02,130.02999877929688,130.7100067138672,127.5199966430664,127.98999786376953,252364900
2008-09-03,127.87999725341797,128.5,126.93000030517578,127.87999725341797,251947000
2008-09-04,126.97000122070312,127.2300033569336,123.95999908447266,124.02999877929688,340042500
2008-09-05,123.29000091552734,124.94999694824219,122.0,124.41999816894531,289503400
2008-09-08,128.0399932861328,128.24000549316406,124.41999816894531,126.98999786376953,364075300
2008-09-09,127.0999984741211,127.36000061035156,122.80000305175781,123.22000122070312,377326800
2008-09-10,123.88999938964844,124.9000015258789,122.55000305175781,123.72000122070312,298916600
2008-09-11,122.12000274658203,125.73999786376953,121.5999984741211,125.51000213623047,375369400
2008-09-12,124.29000091552734,126.20999908447266,123.83000183105469,126.08999633789062,297851200
2008-09-15,121.62999725341797,125.6500015258789,119.88999938964844,120.08999633789062,483607000
2008-09-16,117.19999694824219,122.31999969482422,117.0,122.0999984741211,581744300
2008-09-17,119.63999938964844,121.8499984741211,116.0,116.61000061035156,624095600
2008-09-18,118.05000305175781,121.79000091552734,113.80000305175781,120.06999969482422,776114700
2008-09-19,126.69999694824219,128.0,123.33000183105469,124.12000274658203,501087800
2008-09-22,124.44999694824219,124.75,120.36000061035156,121.30999755859375,249966500
2008-09-23,120.8499984741211,122.0199966430664,118.27999877929688,118.55000305175781,327470400
2008-09-24,119.3499984741211,120.0,117.79000091552734,118.93000030517578,311818400
2008-09-25,119.4000015258789,121.91000366210938,118.44000244140625,120.79000091552734,328253000
2008-09-26,118.83000183105469,121.5,118.51000213623047,120.8499984741211,285917400
2008-09-29,119.13999938964844,119.33999633789062,110.97000122070312,111.37999725341797,459562300
2008-09-30,113.51000213623047,116.80000305175781,110.52999877929688,115.98999786376953,328154400
2008-10-01,115.2699966430664,116.69000244140625,113.94999694824219,116.05999755859375,332783000
2008-10-02,114.94999694824219,115.11000061035156,111.05999755859375,111.8499984741211,365337800
2008-10-03,112.86000061035156,115.44999694824219,109.68000030517578,110.33999633789062,461798000
2008-10-06,107.1500015258789,107.62000274658203,100.63999938964844,104.72000122070312,610637500
2008-10-07,106.83999633789062,107.33000183105469,99.6500015258789,100.02999877929688,540012100
2008-10-08,97.5199966430664,102.18000030517578,96.80999755859375,97.51000213623047,725414800
2008-10-09,99.66000366210938,100.62000274658203,90.25,90.69999694824219,534485200
2008-10-10,86.76000213623047,93.94000244140625,83.58000183105469,88.5,871026300
2008-10-13,93.87000274658203,101.3499984741211,89.94999694824219,101.3499984741211,455584000
2008-10-14,104.69999694824219,105.52999877929688,97.11000061035156,99.8499984741211,546268300
2008-10-15,97.45999908447266,97.80000305175781,89.70999908447266,90.0199966430664,484627500
2008-10-16,91.29000091552734,94.7699966430664,86.54000091552734,93.7699966430664,708811200
2008-10-17,91.98999786376953,98.58999633789062,91.6500015258789,93.20999908447266,476649000
2008-10-20,95.3499984741211,99.0999984741211,94.08999633789062,98.80999755859375,321294200
2008-10-21,96.97000122070312,98.63999938964844,95.22000122070312,95.86000061035156,356502000
2008-10-22,93.19999694824219,95.86000061035156,87.52999877929688,90.63999938964844,516168000
